,Name,Logo,Industry Type,Headquarters,No. of Locations,Highly Rated For,Critically Rated For,Rating,Review Count,Interview Count,Salaries Count,Job Count
371,Info Edge,https://static.ambitionbox.com/alpha/company/photos/logos/info-edge.jpg,Internet,Noida ,61,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],3.9,0,334,0,425
372,Mahindra Rural Housing Finance,https://static.ambitionbox.com/alpha/company/photos/logos/mahindra-rural-housing-finance.jpg,NBFC,Mumbai ,435,"['Work Life Balance', 'Company Culture', 'Skill Development / Learning']",['Promotions / Appraisal'],4.0,0,90,0,29
373,suzuki motor gujarat,https://static.ambitionbox.com/alpha/company/photos/logos/suzuki-motor-gujarat.jpg,Automobile,Ahmedabad ,109,"['Job Security', 'Salary & Benefits', 'Company Culture']",[],4.2,0,180,0,9
374,Akums Drugs & Pharmaceuticals Limited,https://static.ambitionbox.com/alpha/company/photos/logos/akums-drugs-and-pharmaceuticals.jpg,Pharma,Haridwar ,30,"['Job Security', 'Company Culture', 'Skill Development / Learning']",[],4.4,0,300,0,12
375,Simplex Infrastructures,https://static.ambitionbox.com/alpha/company/photos/logos/simplex-infrastructures.jpg,Engineering & Construction,Kolkata ,135,[],"['Salary & Benefits', 'Promotions / Appraisal', 'Company Culture']",3.3,0,69,0,1
376,Lifestyle,https://static.ambitionbox.com/alpha/company/photos/logos/lifestyle.jpg,Retail,Bangalore / Bengaluru ,122,"['Company Culture', 'Job Security', 'Skill Development / Learning']",[],4.3,0,68,0,12
377,Aditya Birla Group,https://static.ambitionbox.com/alpha/company/photos/logos/aditya-birla-group.jpg,Building Material,Mumbai ,235,"['Job Security', 'Company Culture', 'Work Life Balance']",[],4.1,0,204,0,1
378,3i Infotech,https://static.ambitionbox.com/alpha/company/photos/logos/3i_infotech.jpg,IT Services & Consulting,Mumbai ,115,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Company Culture']",3.4,0,148,0,30
379,MagicBricks,https://static.ambitionbox.com/alpha/company/photos/logos/magicbricks.jpg,Internet,Noida ,35,"['Company Culture', 'Work Life Balance', 'Work Satisfaction']",[],4.4,0,334,0,40
380,Unacademy,https://static.ambitionbox.com/alpha/company/photos/logos/unacademy-173643.jpg,EdTech,Bangalore / Bengaluru ,65,[],"['Job Security', 'Promotions / Appraisal', 'Company Culture']",3.0,0,212,0,58
381,Cholamandalam MS General Insurance,https://static.ambitionbox.com/alpha/company/photos/logos/cholamandalam-ms-general-insurance.jpg,Insurance,Chennai ,347,[],['Promotions / Appraisal'],3.8,0,96,0,1
382,Gallagher,https://static.ambitionbox.com/alpha/company/photos/logos/gallagher.jpg,Insurance,Bangalore / Bengaluru ,24,"['Company Culture', 'Work Life Balance', 'Job Security']","['Promotions / Appraisal', 'Salary & Benefits']",3.7,0,230,0,34
383,ESAF Small Finance Bank,https://static.ambitionbox.com/alpha/company/photos/logos/esaf-microfinance.jpg,Banking,Thrissur ,342,[],"['Promotions / Appraisal', 'Work Satisfaction']",3.7,0,122,0,33
384,Mahindra Holidays & Resorts,https://static.ambitionbox.com/alpha/company/photos/logos/mahindra-holidays-and-resorts.jpg,Hospitality,Mumbai ,103,[],"['Promotions / Appraisal', 'Work Life Balance', 'Work Satisfaction']",3.5,0,107,0,54
385,BT Group,https://static.ambitionbox.com/alpha/company/photos/logos/british-telecom.jpg,Telecom,Gurgaon / Gurugram ,19,"['Work Life Balance', 'Job Security', 'Company Culture']",['Promotions / Appraisal'],3.9,0,191,0,2
386,Cybage,https://static.ambitionbox.com/alpha/company/photos/logos/cybage.jpg,IT Services & Consulting,Pune ,9,"['Job Security', 'Company Culture', 'Work Life Balance']","['Promotions / Appraisal', 'Salary & Benefits']",3.8,0,198,0,37
387,Ola Cabs,https://static.ambitionbox.com/alpha/company/photos/logos/ola-cabs-32.jpg,Internet,Bangalore / Bengaluru ,99,[],"['Job Security', 'Promotions / Appraisal', 'Company Culture']",3.4,0,144,0,11
388,Myntra,https://static.ambitionbox.com/alpha/company/photos/logos/myntra.jpg,Internet,Bangalore / Bengaluru ,101,"['Company Culture', 'Skill Development / Learning', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,224,0,6
389,ICICI Securities,https://static.ambitionbox.com/alpha/company/photos/logos/icici-securities.jpg,Financial Services,Mumbai ,136,"['Job Security', 'Skill Development / Learning']",['Promotions / Appraisal'],3.9,0,171,0,3
390,Parle Agro,https://static.ambitionbox.com/alpha/company/photos/logos/parle-agro.jpg,Beverage,Mumbai ,214,"['Work Life Balance', 'Job Security', 'Salary & Benefits']",[],4.0,0,110,0,3
391,Intellect Design Arena,https://static.ambitionbox.com/alpha/company/photos/logos/intellect-design-arena-153171.jpg,Software Product,Chennai ,35,['Job Security'],[],3.9,0,165,0,20
392,Delhi Public School,https://static.ambitionbox.com/alpha/company/photos/logos/delhi-public-school.jpg,New Delhi +254 other locations,Chennai ,35,['Skill Development / Learning'],['Promotions / Appraisal'],3.9,0,121,0,54
393,Eureka Forbes,https://static.ambitionbox.com/alpha/company/photos/logos/eureka-forbes.jpg,Consumer Electronics & Appliances,Mumbai ,168,[],"['Job Security', 'Promotions / Appraisal', 'Company Culture']",3.7,0,73,0,6
394,Care Health Insurance,https://static.ambitionbox.com/alpha/company/photos/logos/care-health-insurance.jpg,Internet,New Delhi ,214,[],"['Promotions / Appraisal', 'Company Culture', 'Salary & Benefits']",3.6,0,128,0,47
395,Syngene International,https://static.ambitionbox.com/alpha/company/photos/logos/syngene.jpg,Clinical Research,Bangalore / Bengaluru ,20,"['Job Security', 'Company Culture', 'Work Life Balance']","['Promotions / Appraisal', 'Salary & Benefits']",3.9,0,164,0,40
396,JCB,https://static.ambitionbox.com/alpha/company/photos/logos/jcb.jpg,Pune +98 other locations,Bangalore / Bengaluru ,20,['Work Life Balance'],"['Promotions / Appraisal', 'Job Security']",3.9,0,140,0,0
397,State Street Syntel,https://static.ambitionbox.com/alpha/company/photos/logos/state-street-syntel.jpg,Financial Services,Pune ,22,"['Job Security', 'Skill Development / Learning']","['Salary & Benefits', 'Promotions / Appraisal', 'Work Satisfaction']",3.7,0,76,0,0
398,Biocon Limited,https://static.ambitionbox.com/alpha/company/photos/logos/biocon.jpg,Biotechnology,Bangalore / Bengaluru ,60,"['Work Life Balance', 'Job Security']",['Promotions / Appraisal'],3.9,0,160,0,18
399,Emcure Pharmaceuticals,https://static.ambitionbox.com/alpha/company/photos/logos/emcure-pharmaceuticals.jpg,Pune +103 other locations,Bangalore / Bengaluru ,60,[],"['Job Security', 'Promotions / Appraisal', 'Work Satisfaction']",3.7,0,107,0,37
400,IntouchCX,https://static.ambitionbox.com/alpha/company/photos/logos/24-7-intouch.jpg,BPO,Hyderabad / Secunderabad ,20,[],"['Promotions / Appraisal', 'Job Security', 'Work Satisfaction']",2.9,0,202,0,43
401,Radisson Hotels,https://static.ambitionbox.com/alpha/company/photos/logos/radisson-hotel.jpg,New Delhi +113 other locations,Hyderabad / Secunderabad ,20,"['Skill Development / Learning', 'Company Culture', 'Work Life Balance']",[],4.1,0,82,0,132
402,Xoriant,https://static.ambitionbox.com/alpha/company/photos/logos/xoriant.jpg,IT Services & Consulting,Pune ,23,"['Work Life Balance', 'Company Culture', 'Skill Development / Learning']",[],4.1,0,192,0,40
403,Nokia Networks,https://static.ambitionbox.com/alpha/company/photos/logos/nokia-seimens-network.jpg,Hardware & Networking,Chennai ,80,"['Company Culture', 'Work Life Balance', 'Work Satisfaction']",[],4.2,0,116,0,0
404,Canara HSBC Life Insurance,https://static.ambitionbox.com/alpha/company/photos/logos/canara-hsbc-life-insurance.jpg,Insurance,Gurgaon / Gurugram ,274,[],"['Work Satisfaction', 'Job Security']",3.6,0,106,0,2
